id,modulo,nivel,modelo,nome_do_teste,resultado,erro_ts_code,erro_mensagem,arquivo,linha
1,UsersService,unitario,chatgpt,UsersService create deve criar usuário com sucesso quando email não existe,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
2,UsersService,unitario,chatgpt,UsersService create deve lançar ConflictException quando email já estiver em uso,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
3,UsersService,unitario,chatgpt,UsersService create deve propagar erro se password estiver inválido,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
4,UsersService,unitario,chatgpt,UsersService findOne deve retornar usuário quando encontrado,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
5,UsersService,unitario,chatgpt,UsersService findOne deve lançar NotFoundException quando usuário não existir,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
6,UsersService,unitario,chatgpt,UsersService findOne deve lançar erro para id vazio,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
7,UsersService,unitario,chatgpt,UsersService findByEmail deve retornar usuário ao buscar por email,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
8,UsersService,unitario,chatgpt,UsersService findByEmail deve retornar null quando email não existir,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
9,UsersService,unitario,chatgpt,UsersService update deve atualizar usuário com sucesso sem alterar senha,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
10,UsersService,unitario,chatgpt,UsersService update deve atualizar senha com hash quando password for enviada,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
11,UsersService,unitario,chatgpt,UsersService update deve lançar ConflictException ao alterar para email já existente,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
12,UsersService,unitario,chatgpt,UsersService softDelete deve desativar usuário com sucesso,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
13,UsersService,unitario,chatgpt,UsersService softDelete deve lançar NotFoundException ao tentar deletar usuário inexistente,passou,,,src/tests-ia/chatgpt/unit/users.service.spec.ts,
14,EventsService,unitario,chatgpt,EventsService create deve criar evento com sucesso,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
15,EventsService,unitario,chatgpt,EventsService create deve falhar ao criar evento com data inválida,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
16,EventsService,unitario,chatgpt,EventsService create deve falhar ao criar evento com capacidade negativa,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
17,EventsService,unitario,chatgpt,EventsService findAll deve retornar lista de eventos,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
18,EventsService,unitario,chatgpt,EventsService findOne deve retornar evento quando encontrado,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
19,EventsService,unitario,chatgpt,EventsService findOne deve lançar NotFoundException quando evento não existir,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
20,EventsService,unitario,chatgpt,EventsService findOne deve lançar erro para id vazio,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
21,EventsService,unitario,chatgpt,EventsService update deve atualizar evento com sucesso,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
22,EventsService,unitario,chatgpt,EventsService update deve atualizar capacidade recalculando ingressos disponíveis,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
23,EventsService,unitario,chatgpt,EventsService update deve lançar BadRequestException ao atualizar evento cancelado,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
24,EventsService,unitario,chatgpt,EventsService update deve lançar BadRequestException se capacidade menor que vendidos,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
25,EventsService,unitario,chatgpt,EventsService update deve converter data ao atualizar,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
26,EventsService,unitario,chatgpt,EventsService cancel deve cancelar evento com sucesso quando nenhum ingresso foi vendido,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
27,EventsService,unitario,chatgpt,EventsService cancel deve lançar BadRequestException quando evento já estiver cancelado,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
28,EventsService,unitario,chatgpt,EventsService cancel deve lançar BadRequestException quando houver ingressos vendidos,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
29,EventsService,unitario,chatgpt,EventsService cancel deve falhar para id vazio,passou,,,src/tests-ia/chatgpt/unit/events.service.spec.ts,
30,SalesService,unitario,chatgpt,SalesService create deve criar venda com sucesso e decrementar estoque,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
31,SalesService,unitario,chatgpt,SalesService create deve lançar NotFoundException quando ticket não existir,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
32,SalesService,unitario,chatgpt,SalesService create deve lançar BadRequestException quando estoque do ticket for insuficiente,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
33,SalesService,unitario,chatgpt,SalesService create deve lançar NotFoundException quando evento não existir,falhou,,"Expected substring: ""Event not found"" / Received message: ""Ticket not found""",src/tests-ia/chatgpt/unit/sales.service.spec.ts,
34,SalesService,unitario,chatgpt,SalesService create deve lançar BadRequestException quando evento não tiver ingressos disponíveis,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
35,SalesService,unitario,chatgpt,SalesService create deve falhar para quantidade inválida,falhou,,Received promise resolved instead of rejected,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
36,SalesService,unitario,chatgpt,SalesService findByUser deve listar vendas do usuário ordenadas por data desc,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
37,SalesService,unitario,chatgpt,SalesService findOne deve retornar venda quando encontrada,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
38,SalesService,unitario,chatgpt,SalesService findOne deve lançar NotFoundException quando venda não existir,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
39,SalesService,unitario,chatgpt,SalesService cancel deve cancelar venda com sucesso e reverter estoque,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
40,SalesService,unitario,chatgpt,SalesService cancel deve lançar NotFoundException quando venda não existir,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
41,SalesService,unitario,chatgpt,SalesService cancel deve lançar BadRequestException quando venda já estiver cancelada,falhou,,"Expected substring: ""Sale is already cancelled"" / Received message: ""Sale not found""",src/tests-ia/chatgpt/unit/sales.service.spec.ts,
42,SalesService,unitario,chatgpt,SalesService cancel deve falhar para id vazio,passou,,,src/tests-ia/chatgpt/unit/sales.service.spec.ts,
43,UsersController,integracao,chatgpt,UsersController (integration) POST /users deve criar usuário com sucesso e retornar 201,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
44,UsersController,integracao,chatgpt,UsersController (integration) POST /users deve retornar 409 quando email já estiver em uso,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
45,UsersController,integracao,chatgpt,UsersController (integration) POST /users deve retornar 400 para payload inválido,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
46,UsersController,integracao,chatgpt,UsersController (integration) POST /users deve retornar 400 quando campos obrigatórios não forem enviados,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
47,UsersController,integracao,chatgpt,UsersController (integration) GET /users/:id deve buscar usuário com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
48,UsersController,integracao,chatgpt,UsersController (integration) GET /users/:id deve retornar 404 quando usuário não existir,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
49,UsersController,integracao,chatgpt,UsersController (integration) GET /users/:id deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
